AGNO;MES;PREFINAL;PMAX;DIAS;TEMPMAX;TEMPMIN;TEMPMED;TMAXABS;TMINABS
1999;8;0,5;0,4;2;34,6;18;26,3;39,6;13,4
1999;9;11,2;11,1;2;27,8;13,4;20,6;33,6;8,2
1999;10;105,4;33;15;22,9;11,4;17,2;29,2;8,3
1999;11;34,1;23,9;6;15,5;3,1;9,3;25;-3,4
1999;12;34,8;9,4;10;12,4;2,6;7,5;18,3;-2,2
2000;1;10,6;7;3;12,5;-0,4;6;19,3;-3,4
2000;2;0;0;0;19,3;2,9;11,1;21,8;1,2
2000;3;19,2;16,5;3;19,6;4,7;12,1;25,2;1,5
2000;4;65,7;10,6;17;17,2;6,2;11,7;25,8;1
2000;5;72,5;12,1;12;24,7;11,4;18,1;33;6,3
2000;6;0,7;0,5;3;32;15,1;23,6;38,2;8,5
2000;7;0;0;0;34,5;17;25,7;40;13,7
2000;8;0,1;0,1;1;34,2;17,2;25,7;39,2;12
2000;9;14,8;8,9;4;29,6;14;21,8;35;7
2000;10;55;19,9;11;21,2;9,1;15,1;29,6;4,5
2000;11;57,7;20,7;14;14,7;4,1;9,4;21,4;-0,2
2000;12;89,3;40,3;16;14,3;3,6;9;21;-1,4
2001;1;57,8;12,3;15;13;3,5;8,3;20,8;-2,6
2001;2;21,1;5,7;10;15;2,5;8,8;20,7;-0,4
2001;3;50,9;14,8;10;18,9;6,8;12,9;28,6;3
2001;4;4,3;2,9;5;22,2;6,4;14,3;26,5;2
2001;5;49,9;30;9;23,9;9,7;16,8;34;4
2001;6;0,1;0,1;1;33,3;15,3;24,3;40;11,4
2001;7;0,1;0,1;1;33,3;16,8;25,1;42,1;12,4
2001;8;0,1;0,1;2;34,3;17,8;26,1;38,8;12,6
2001;9;49;33,5;5;28,4;14,6;21,5;34,4;11,2
2001;10;64,6;27,7;11;24,1;11,2;17,7;30,1;8
2001;11;22,1;8,2;9;14,8;3,2;9;23,2;-2
2001;12;52,5;13,5;12;12,8;1,4;7,1;19;-3
2002;1;15;8,9;7;14,6;1,3;7,9;;
2002;2;3,2;1,8;2;17,7;1,6;9,7;;
2002;3;82,3;32,4;11;17,8;5,7;11,8;;
2002;4;72,8;30;14;19;6;12,5;;
2002;5;27,1;6,5;7;23,5;8,9;16,2;;
2002;6;37;17,7;5;32,2;15,6;23,9;;
2002;7;0;0;0;33,8;16,7;25,3;;
2002;8;4,9;4,9;1;32,1;16;24;;
2002;9;9,1;5,8;6;27,6;13,3;20,4;;
2002;10;20,5;10,3;9;23,4;9,5;16,4;;
2002;11;120,3;33,9;16;16,9;5,6;11,2;;
2002;12;52,7;18,1;15;14,3;4,2;9,2;;
2003;1;57,5;15,8;15;11,3;1;6,2;20;-4,6
2003;2;64,2;13,4;12;12,9;2,3;7,6;17,6;-2,2
2003;3;39,3;9;10;18,5;5,9;12,2;25,2;2
2003;4;32,3;8,3;11;19,7;6,5;13,1;28,6;0,8
2003;5;16;6;5;26,3;10,9;18,6;32,2;6,4
2003;6;2,6;2,5;2;33,6;16,4;25;37,6;12,6
2003;7;0;0;0;35,5;17,5;26,5;40,2;12,8
2003;8;0,5;0,3;2;34,8;17,9;26,4;41,2;12
2003;9;17;15,2;3;29,6;14,4;22;34,2;10,5
2003;10;88,5;18,6;18;21,1;11,3;16,2;27,2;3
2003;11;43;15,3;11;16,7;6,5;11,6;21;0
2003;12;34,5;12,2;11;13,1;2,7;7,9;17,8;-1,9
2004;1;9,3;6,8;6;14,2;2,4;8,3;;
2004;2;40,7;12,3;10;15,7;3,5;9,6;;
2004;3;73,3;40,8;11;16,8;4,6;10,7;;
2004;4;58,6;14,6;10;18,7;6,1;12,4;;
2004;5;54,7;16,4;15;20,4;8,4;14,4;;
2004;6;6,9;4,6;6;32,4;15,9;24,1;;
2004;7;0,3;0,2;2;34,7;18,1;26,4;;
2004;8;0,1;0,1;1;34,1;18,1;26,1;;
2004;9;4,4;1,6;4;31,3;15,3;23,3;;
2004;10;18,4;4,9;10;24,1;10,8;17,5;;
2004;11;7,8;6,6;4;17,5;3,2;10,4;;
2004;12;34,4;15,7;8;12,6;1,7;7,2;;
2005;1;0,1;0,1;1;14,2;-2,6;5,8;20,2;-10
2005;2;37,3;14,4;8;12,2;-1,5;5,3;19,8;-5,5
2005;3;28;7,2;9;17,3;5,2;11,3;26;-3
2005;4;3,7;3,1;3;22;7,4;14,7;29;1,6
2005;5;9,8;3,2;8;27,5;12;19,7;32,6;6,5
2005;6;2,1;2,1;1;32,9;16,8;24,8;37,2;12,1
2005;7;0,2;0,1;2;35,1;18,9;27;41;15,4
2005;8;1,5;1,4;2;34,4;18,1;26,3;41;14
2005;9;18,6;8,2;5;28,7;13,7;21,2;36,6;8,5
2005;10;37,9;10,6;8;23,4;11,4;17,4;30,2;7
2005;11;23;4,2;9;15,3;3,9;9,6;24,6;-0,5
2005;12;19,9;11,2;10;12,8;2,2;7,5;16,2;-2,6
2006;1;48,3;18;11;10,7;0,6;5,7;14,6;-4
2006;2;34,8;8,2;13;12,6;2,4;7,5;18,8;-3
2006;3;45,7;11,9;9;18,5;5,2;11,9;26,4;-1
2006;4;28;14,8;9;22,1;8,7;15,4;27,6;5,4
2006;5;27,2;9,2;8;27,3;12,7;20;37;7,6
2006;6;0,8;0,3;5;30,9;15,2;23,1;;9,5
2006;7;0,2;0,1;2;35,8;18,6;27,2;40,4;13,6
2006;8;7,5;7,4;2;33,4;17,8;25,6;37,8;11,7
2006;9;14;9,6;6;29,3;15,1;22,2;37,8;10,6
2006;10;16,9;6,5;5;24,8;12;18,4;35,2;8,8
2006;11;48,2;14,6;10;18,2;7,3;12,8;25,5;2
2006;12;24;14,8;6;12,8;0,5;6,7;18;-4,8
2007;1;29,9;13,3;7;14,6;-0,1;7,3;22,1;-5
2007;2;26,5;6,3;13;14,9;4,7;9,8;24,6;-0,6
2007;3;8,1;2,7;6;17,4;3,4;10,4;26;-2
2007;4;55,1;14,7;14;17,4;7;12,2;25,4;0,8
2007;5;56,3;20,5;7;23,9;10,4;17,2;32;7
2007;6;0,1;0,1;1;29,4;14,8;22,1;34,5;10,4
2007;7;0,1;0,1;1;34,9;18,3;26,6;39,2;13,4
2007;8;0,3;0,3;1;33,6;17,8;25,7;39,7;12,6
2007;9;89,9;69,3;6;28,4;14,9;21,7;33,8;11,2
2007;10;50;14,1;7;22,1;9,7;15,9;28,4;5,2
2007;11;26,3;13,6;4;17,7;3,6;10,7;23;-1,8
2007;12;12,2;9,9;3;13,5;1,1;7,3;18,6;-3
2008;1;38,7;12,1;7;14,4;1,7;8;21,2;-1,6
2008;2;23,5;15,3;7;16,3;3,2;9,8;20,3;-1,4
2008;3;17,1;7,9;5;18,6;3,9;11,2;25,8;-2,6
2008;4;37,7;9,7;11;20,9;6,7;13,8;28;1
2008;5;50,9;21,8;12;22,3;10,4;16,4;29,6;6
2008;6;4,5;2,4;4;30,5;14,5;22,5;38;8,8
2008;7;1,5;1,5;1;34,2;17,6;25,9;37,2;14,5
2008;8;0;0;0;34,4;17,9;26,2;39,2;13,6
2008;9;23,3;6;12;27,9;14,5;21,2;33;10
2008;10;46,2;21,6;10;21,7;10,2;16;28,4;1,6
2008;11;46,2;19,4;8;14,4;2,9;8,6;20;-1,5
2008;12;47,4;16,1;12;11,7;1,2;6,4;19,2;-3
2009;1;57,7;10,8;15;10,2;1,9;6,1;18,8;-5
2009;2;52,7;18,4;9;14;2,5;8,3;19,2;-0,5
2009;3;59,3;17,3;10;18,3;5,3;11,8;25,5;0,2
2009;4;48,5;27,2;9;18,5;5,1;11,8;26,2;0,6
2009;5;17,1;14,3;2;27,1;10,1;18,6;34,3;4,7
2009;6;3,7;3;3;32,2;16;24,1;39;9,5
2009;7;0,3;0,2;2;35,9;18,6;27,3;41,1;14,5
2009;8;2,6;1,5;3;34,4;18;26,2;37,2;14
2009;9;47,5;38,1;8;26,9;14,4;20,6;35;9,3
2009;10;34,1;28,5;3;26;11,2;18,6;33,2;7,1
2009;11;26,4;20,9;4;19,2;6,6;12,9;27;1,2
2009;12;144,6;34,3;16;14,1;3,9;9;20,6;-4,4
2010;1;99,7;22,3;15;11,5;2,7;7,1;20,5;-4,1
2010;2;104,4;16,1;24;13,4;4,2;8,8;25,7;-2,4
2010;3;73,5;13,3;12;16;5,1;10,5;23,2;-2
2010;4;21,2;10,7;6;21,6;8,1;14,8;29;1,6
2010;5;13,3;6;6;24;9,2;16,6;33,4;2
2010;6;23,1;13,8;7;28,9;14,2;21,5;35,2;9,5
2010;7;0,4;0,2;3;35,6;19,2;27,4;40,5;17
2010;8;17,8;9,9;3;34,9;19,4;27,1;40,2;16,7
2010;9;18,2;10,8;5;28,7;15,1;21,9;35,4;10,4
2010;10;33,6;15,8;9;22,4;8,9;15,6;30,5;2,6
2010;11;58,4;18,5;13;14,9;4,6;9,7;22,9;-1
2010;12;103,8;29;14;14,2;4,6;9,4;24,8;-3,4
2011;1;35,9;13,7;12;13;2,9;7,9;19;-0,6
2011;2;38,4;16,6;6;15,1;2;8,6;21,6;-2,5
2011;3;40,3;20,2;8;16,1;4,5;10,3;23,4;-2
2011;4;59,3;26,1;11;23;8,8;15,9;30,5;7,3
2011;5;84,7;23,5;9;24,7;11;17,8;30,1;6,2
2011;6;12,4;6,3;3;30,8;14,9;22,8;37,8;8,4
2011;7;0,1;0,1;1;33,7;17,3;25,5;37,2;13,6
2011;8;0;0;0;34,6;17,7;26,1;39,5;14
2011;9;1,6;1,4;3;30,2;14;22,1;34,6;9
2011;10;25,4;14,1;5;24,8;9,9;17,3;31,2;5,2
2011;11;61,1;20,1;11;17;5,9;11,4;24,4;0,2
2011;12;5,5;2,4;5;13,8;0,6;7,2;19,2;-4
2012;1;19,7;6,9;3;14;-0,7;6,6;20,5;-3,6
2012;2;4,9;2,8;4;13;-2,8;5,1;21,2;-9,6
2012;3;6,7;4,4;7;18,9;2,8;10,8;24,4;-2
2012;4;68,3;11,2;14;17,1;6,3;11,7;27;1,6
2012;5;14,5;8,4;2;27,1;11;19;34;2,5
2012;6;0,1;0,1;1;33,2;16,6;24,9;39,5;12,6
2012;7;0;0;0;34,7;17;25,9;39,6;13
2012;8;0;0;0;36,4;18,6;27,5;42;14,4
2012;9;42,8;34,7;4;29,2;13,9;21,6;34;8,8
2012;10;107,5;59,1;10;22,7;9,8;16,2;31,6;4,2
2012;11;118;24,9;14;15,9;6,1;11;23,2;-2
2012;12;14,9;5;6;13,8;1,2;7,5;21,8;-5
2013;1;64,4;13,8;13;12,6;0,6;6,3;20,4;-3,8
2013;2;60,2;15,5;11;12,5;0,3;6,6;18,6;-5
2013;3;139;25,3;21;15;5,4;9,7;20,5;-2,4
2013;4;53,4;15,7;9;20;6,9;12,8;29,6;0,5
2013;5;23;7,4;6;22,7;8,6;15,7;29,2;0,6
2013;6;0;0;0;29,3;12,5;21;35,7;7,2
2013;7;0;0;0;34,2;16,5;25,4;37,2;12,2
2013;8;9,7;8,5;3;34,5;17,7;26;39,2;11,6
2013;9;27,6;13,7;7;28,5;14,3;21;31,6;11,8
2013;10;10,8;7,6;4;25,9;10,9;17,5;32,2;1,2
2013;11;14,9;8,2;5;16,6;2;8,8;25,4;-4,5
2013;12;44,3;20,6;6;14,2;-0,2;6,4;17,4;-5,2
